stock,endDate,totalRevenue,costOfRevenue,grossProfit,totalOperatingExpenses,sellingGeneralAdministrative,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome
ONVO,2020-03-31,2196000,5612000,-3416000,17944000,12332000.0,-15748000,-15748000,-18708000.0,2000,-18710000
ONVO,2019-03-31,3091000,15234000,-12143000,29924000,14690000.0,-26833000,-26833000,-26632000.0,3000,-26635000
ONVO,2018-03-31,4603000,18986000,-14383000,39874000,20888000.0,-35271000,-35271000,-34801000.0,2000,-34803000
ONVO,2017-03-31,4230000,20501000,-16271000,42805000,22304000.0,-38575000,-38575000,-38424000.0,23000,-38447000
THRM,2019-12-31,971684000,683349000,288335000,874505000,118680000.0,97179000,97179000,59151000.0,21645000,37506000
THRM,2018-12-31,1048505000,743647000,304858000,960945000,137398000.0,87560000,87560000,58119000.0,16220000,41899000
THRM,2017-12-31,993991000,674796000,319195000,896893000,139619000.0,97098000,97098000,69255000.0,34028000,35227000
THRM,2016-12-31,917600000,618563000,299037000,804738000,113252000.0,112862000,112862000,110563000.0,33965000,76598000
SPN,2019-12-31,1425369000,925082000,500287000,1389767000,268226000.0,35602000,35602000,-82379000.0,-4626000,-255721000
SPN,2018-12-31,1478857000,970488000,508369000,1525395000,276468000.0,-46538000,-46538000,-470406000.0,-43003000,-858115000
SPN,2017-12-31,1305529000,889809000,415720000,1502262000,285597000.0,-196733000,-196733000,-311877000.0,-131562000,-205921000
SPN,2016-12-31,1450047000,1123274000,326773000,1979851000,346606000.0,-529804000,-529804000,-1100341000.0,-267001000,-886899000
CYTK,2019-12-31,26868000,86125000,-59257000,125735000,39610000.0,-98867000,-98867000,-121692000.0,0,-121692000
CYTK,2018-12-31,31501000,89135000,-57634000,120417000,31282000.0,-88916000,-88916000,-106289000.0,0,-106289000
CYTK,2017-12-31,13368000,90296000,-76928000,126764000,36468000.0,-113396000,-113396000,-127790000.0,0,-127790000
CYTK,2016-12-31,106407000,64397000,42010000,92220000,27823000.0,14187000,14187000,16453000.0,0,16453000
DGX,2019-12-31,7726000000,5002000000,2724000000,6507000000,1409000000.0,1219000000,1219000000,1133000000.0,247000000,858000000
